antecedents,consequents,support,confidence,lift,Score
frozenset({'pink regency teacup and saucer'}),frozenset({'green regency teacup and saucer'}),0.02426572166496486,0.8194726166328601,22.29313659202694,1
frozenset({'wooden star christmas scandinavian'}),frozenset({'wooden heart christmas scandinavian'}),0.018019100246261036,0.7481296758104737,28.633588442686385,2
"frozenset({""poppy's playhouse bedroom""})","frozenset({""poppy's playhouse kitchen""})",0.012553306504895188,0.8038461538461539,46.46956463675213,3
frozenset({'wooden heart christmas scandinavian'}),frozenset({'wooden star christmas scandinavian'}),0.018019100246261036,0.6896551724137931,28.63358844268639,4
frozenset({'regency tea plate green'}),frozenset({'regency tea plate roses'}),0.011532224157607063,0.8458149779735683,52.93975025669902,5
